일시,광진구,동대문구,성동구,중랑구,gw_sub,dd_sub,sd_sub,gr_sub,sunday,mon_1,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
20181203,1.4,0.682,1.112,0.438,306.352,250.084,235.92,191.856,0,0,0,0,0,0,0,0,0,0,0,0,1
20181204,2.548,1.52,2.134,1.08,320.916,267.532,246.984,198.518,0,0,0,0,0,0,0,0,0,0,0,0,1
20181205,3.132,1.878,2.342,1.174,322.154,269.658,252.466,199.356,0,0,0,0,0,0,0,0,0,0,0,0,1
20181206,2.986,1.81,2.408,1.192,329.962,276.088,250.422,200.602,0,0,0,0,0,0,0,0,0,0,0,0,1
20181207,1.988,1.188,1.522,0.828,335.09,270.348,254.032,198.266,0,0,0,0,0,0,0,0,0,0,0,0,1
20181208,1.306,0.83,0.862,0.538,267.052,214.794,167.778,143.742,0,0,0,0,0,0,0,0,0,0,0,0,1
20181209,1.252,0.698,0.818,0.51,188.346,156.186,113.82,101.836,1,0,0,0,0,0,0,0,0,0,0,0,1
20181210,2.194,1.364,1.75,0.862,311.898,262.024,237.92,194.868,0,0,0,0,0,0,0,0,0,0,0,0,1
20181211,2.564,1.522,2.186,1.024,320.966,267.854,246.224,196.67,0,0,0,0,0,0,0,0,0,0,0,0,1
20181212,2.372,1.482,2.018,0.892,326.416,273.39,251.068,199.904,0,0,0,0,0,0,0,0,0,0,0,0,1
20181213,1.508,0.964,1.28,0.666,335.208,269.834,254.97,201.808,0,0,0,0,0,0,0,0,0,0,0,0,1
20181214,1.826,1.176,1.648,0.792,345.514,282.764,258.586,202.756,0,0,0,0,0,0,0,0,0,0,0,0,1
20181215,1.562,1.108,1.136,0.672,282.214,244.586,173.078,157.016,0,0,0,0,0,0,0,0,0,0,0,0,1
20181216,1.286,0.942,1.082,0.604,202.672,172.184,115.136,109.724,1,0,0,0,0,0,0,0,0,0,0,0,1
20181217,2.158,1.324,1.978,0.872,315.132,270.73,243.466,191.592,0,0,0,0,0,0,0,0,0,0,0,0,1
20181218,2.522,1.62,2.156,0.91,327.06,273.658,253.184,194.498,0,0,0,0,0,0,0,0,0,0,0,0,1
20181219,2.65,1.634,2.342,1.0,333.262,275.738,256.634,195.17,0,0,0,0,0,0,0,0,0,0,0,0,1
20181220,2.64,1.744,2.458,1.058,356.802,292.558,273.512,204.232,0,0,0,0,0,0,0,0,0,0,0,0,1
20181221,2.648,1.674,2.472,1.094,364.88,296.452,269.214,201.718,0,0,0,0,0,0,0,0,0,0,0,0,1
20181222,1.958,1.312,1.516,0.952,294.072,245.636,180.534,156.77,0,0,0,0,0,0,0,0,0,0,0,0,1
20181223,1.6,1.09,1.198,0.74,221.312,180.9,120.662,110.304,1,0,0,0,0,0,0,0,0,0,0,0,1
20181224,1.872,1.068,1.752,0.86,332.996,269.624,236.66,185.284,0,0,0,0,0,0,0,0,0,0,0,0,1
20181225,1.502,0.93,1.162,0.708,231.274,184.08,130.532,113.522,0,0,0,0,0,0,0,0,0,0,0,0,1
20181226,2.162,1.274,1.766,0.894,328.184,275.494,248.57,190.034,0,0,0,0,0,0,0,0,0,0,0,0,1
