일시,광진구,동대문구,성동구,중랑구,sunday,mon_1,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
20181203,306352,250084,235920,191856,0,0,0,0,0,0,0,0,0,0,0,0,1
20181204,320916,267532,246984,198518,0,0,0,0,0,0,0,0,0,0,0,0,1
20181205,322154,269658,252466,199356,0,0,0,0,0,0,0,0,0,0,0,0,1
20181206,329962,276088,250422,200602,0,0,0,0,0,0,0,0,0,0,0,0,1
20181207,335090,270348,254032,198266,0,0,0,0,0,0,0,0,0,0,0,0,1
20181208,267052,214794,167778,143742,0,0,0,0,0,0,0,0,0,0,0,0,1
20181209,188346,156186,113820,101836,1,0,0,0,0,0,0,0,0,0,0,0,1
20181210,311898,262024,237920,194868,0,0,0,0,0,0,0,0,0,0,0,0,1
20181211,320966,267854,246224,196670,0,0,0,0,0,0,0,0,0,0,0,0,1
20181212,326416,273390,251068,199904,0,0,0,0,0,0,0,0,0,0,0,0,1
20181213,335208,269834,254970,201808,0,0,0,0,0,0,0,0,0,0,0,0,1
20181214,345514,282764,258586,202756,0,0,0,0,0,0,0,0,0,0,0,0,1
20181215,282214,244586,173078,157016,0,0,0,0,0,0,0,0,0,0,0,0,1
20181216,202672,172184,115136,109724,1,0,0,0,0,0,0,0,0,0,0,0,1
20181217,315132,270730,243466,191592,0,0,0,0,0,0,0,0,0,0,0,0,1
20181218,327060,273658,253184,194498,0,0,0,0,0,0,0,0,0,0,0,0,1
20181219,333262,275738,256634,195170,0,0,0,0,0,0,0,0,0,0,0,0,1
20181220,356802,292558,273512,204232,0,0,0,0,0,0,0,0,0,0,0,0,1
20181221,364880,296452,269214,201718,0,0,0,0,0,0,0,0,0,0,0,0,1
20181222,294072,245636,180534,156770,0,0,0,0,0,0,0,0,0,0,0,0,1
20181223,221312,180900,120662,110304,1,0,0,0,0,0,0,0,0,0,0,0,1
20181224,332996,269624,236660,185284,0,0,0,0,0,0,0,0,0,0,0,0,1
20181225,231274,184080,130532,113522,0,0,0,0,0,0,0,0,0,0,0,0,1
20181226,328184,275494,248570,190034,0,0,0,0,0,0,0,0,0,0,0,0,1
20181227,316000,251490,240316,183582,0,0,0,0,0,0,0,0,0,0,0,0,1
20181228,323120,259124,242782,186412,0,0,0,0,0,0,0,0,0,0,0,0,1
20181229,250776,209290,149412,133176,0,0,0,0,0,0,0,0,0,0,0,0,1
20181230,193380,159674,107508,99156,1,0,0,0,0,0,0,0,0,0,0,0,1
20181231,297668,256128,205226,171862,0,0,0,0,0,0,0,0,0,0,0,0,1
20190101,166754,125202,83116,76644,0,1,0,0,0,0,0,0,0,0,0,0,0
20190102,300586,252464,227038,177832,0,1,0,0,0,0,0,0,0,0,0,0,0
20190103,312072,262066,237968,183722,0,1,0,0,0,0,0,0,0,0,0,0,0
20190104,326526,274626,245578,188826,0,1,0,0,0,0,0,0,0,0,0,0,0
20190105,263804,220782,157194,139908,0,1,0,0,0,0,0,0,0,0,0,0,0
20190106,196244,166004,109452,101966,1,1,0,0,0,0,0,0,0,0,0,0,0
20190107,305592,263366,235456,184574,0,1,0,0,0,0,0,0,0,0,0,0,0
20190108,310968,262820,238798,183888,0,1,0,0,0,0,0,0,0,0,0,0,0
20190109,309432,252830,237164,181772,0,1,0,0,0,0,0,0,0,0,0,0,0
20190110,315228,265724,241734,185514,0,1,0,0,0,0,0,0,0,0,0,0,0
20190111,328082,280046,247708,191974,0,1,0,0,0,0,0,0,0,0,0,0,0
20190112,269398,231420,161006,145844,0,1,0,0,0,0,0,0,0,0,0,0,0
20190113,199204,169470,108714,104826,1,1,0,0,0,0,0,0,0,0,0,0,0
20190114,301126,253856,226196,180736,0,1,0,0,0,0,0,0,0,0,0,0,0
20190115,308558,259262,236624,183560,0,1,0,0,0,0,0,0,0,0,0,0,0
20190116,309080,260034,238538,183216,0,1,0,0,0,0,0,0,0,0,0,0,0
20190117,315576,273390,241250,186482,0,1,0,0,0,0,0,0,0,0,0,0,0
20190118,326288,283944,248260,190954,0,1,0,0,0,0,0,0,0,0,0,0,0
20190119,270456,232682,163090,144808,0,1,0,0,0,0,0,0,0,0,0,0,0
20190120,201906,172398,111896,106544,1,1,0,0,0,0,0,0,0,0,0,0,0
20190121,303132,261540,231926,181846,0,1,0,0,0,0,0,0,0,0,0,0,0
20190122,310550,274150,240086,185000,0,1,0,0,0,0,0,0,0,0,0,0,0
20190123,315020,275060,242538,186386,0,1,0,0,0,0,0,0,0,0,0,0,0
20190124,318912,276078,244284,186624,0,1,0,0,0,0,0,0,0,0,0,0,0
20190125,329954,288892,251790,192370,0,1,0,0,0,0,0,0,0,0,0,0,0
20190126,272924,237946,170048,145260,0,1,0,0,0,0,0,0,0,0,0,0,0
20190127,202184,179792,114350,104972,1,1,0,0,0,0,0,0,0,0,0,0,0
20190128,305068,274256,235744,184948,0,1,0,0,0,0,0,0,0,0,0,0,0
20190129,312166,277852,241514,185958,0,1,0,0,0,0,0,0,0,0,0,0,0
20190130,316704,282448,246416,189124,0,1,0,0,0,0,0,0,0,0,0,0,0
20190131,315384,276818,241844,185876,0,1,0,0,0,0,0,0,0,0,0,0,0
